filename,style,texture,brand,occasion,material,fit
001296_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001285_1.jpg,Streetwear,Plain,H&M,Other,Silk,Loose fitting
001301_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001292_1.jpg,Streetwear,Plain,H&M,Other,Linen,Loose fitting
001274_1.jpg,Streetwear,Plain,H&M,Other,Cotton,Loose fitting
001311_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001283_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001337_1.jpg,Streetwear,Stripes,Uniqlo,Other,Linen,Loose fitting
001303_1.jpg,Streetwear,Stripes,Uniqlo,Other,Linen,Loose fitting
001333_1.jpg,Streetwear,Patterned,Uniqlo,Other,Linen,Loose fitting
001334_1.jpg,Streetwear,Plain,H&M,Other,Linen,Loose fitting
001312_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001335_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001317_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001278_1.jpg,Streetwear,Plain,H&M,Other,Silk,Loose fitting
001331_1.jpg,Traditional,Patterned,Uniqlo,Other,Cotton,Loose fitting
001327_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001297_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001288_1.jpg,Casual,Plain,H&M,Other,Synthetics,Loose fitting
001318_1.jpg,Streetwear,Plain,H&M,Other,Linen,Loose fitting
001315_1.jpg,Streetwear,Plain,H&M,Other,Linen,Loose fitting
001313_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001314_1.jpg,Streetwear,Plain,H&M,Other,Cotton,Tight clothes
001286_1.jpg,Streetwear,Other,H&M,Other,Cotton,Loose fitting
001298_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001284_1.jpg,Streetwear,Plain,H&M,Other,Cotton,Loose fitting
001325_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001308_1.jpg,Streetwear,Plain,H&M,Other,Cotton,Loose fitting
001299_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001279_1.jpg,Streetwear,Stripes,H&M,Other,Linen,Loose fitting
001323_1.jpg,Streetwear,Plain,Uniqlo,Other,Cotton,Loose fitting
001322_1.jpg,Streetwear,Plain,Uniqlo,Other,Linen,Loose fitting
001300_1.jpg,Streetwear,Plain,H&M,Other,Linen,Loose fitting
